,Street_name,Planning_area,Time_taken
319,UPPER CROSS STREET,Yishun,3124
320,UPPER SERANGOON ROAD,Yishun,3194
321,UPPER THOMSON ROAD,Yishun,2327
322,VICTORIA STREET,Yishun,2954
323,WEST COAST DRIVE,Yishun,4183
324,WEST COAST ROAD,Yishun,4274
325,WILKIE ROAD,Yishun,3318
326,WOODLANDS AVENUE 1,Yishun,2390
327,WOODLANDS ROAD,Yishun,3582
328,WOODLANDS SQUARE,Yishun,1666
329,YIO CHU KANG ROAD,Yishun,3002
330,YISHUN AVENUE 2,Yishun,572
331,YISHUN AVENUE 9,Yishun,1298
332,YISHUN CENTRAL 1,Yishun,1322
333,YISHUN RING ROAD,Yishun,1112
