,Street_name,Planning_area,Time_taken
519,CHANGI BUSINESS PARK CENTRAL 1,Bukit Merah,3476
520,CHANGI ROAD,Bukit Merah,2310
521,CHIN SWEE ROAD,Bukit Merah,1291
522,CHOA CHU KANG AVENUE 4,Bukit Merah,3336
523,CHOA CHU KANG NORTH 6,Bukit Merah,3018
524,CLAYMORE DRIVE,Bukit Merah,1651
525,CLEMENCEAU AVENUE,Bukit Merah,1269
526,CLEMENTI AVENUE 3,Bukit Merah,1957
527,COLEMAN STREET,Bukit Merah,1471
528,COLLYER QUAY,Bukit Merah,1283
529,COMMONWEALTH AVENUE WEST,Bukit Merah,1826
530,COMPASSVALE BOW,Bukit Merah,2841
531,CROSS STREET,Bukit Merah,1701
532,CUSCADEN ROAD,Bukit Merah,1528
533,EAST COAST ROAD,Bukit Merah,3428
534,EASTWOOD ROAD,Bukit Merah,3204
535,ENG HOON STREET,Bukit Merah,1053
536,ENGGOR STREET,Bukit Merah,1716
537,EU TONG SEN STREET,Bukit Merah,1279
538,FOCH ROAD,Bukit Merah,1934
539,GEYLANG ROAD,Bukit Merah,2474
540,GOLDHILL PLAZA,Bukit Merah,1776
541,GOPENG STREET,Bukit Merah,1922
542,GUILLEMARD ROAD,Bukit Merah,2665
543,HANDY ROAD,Bukit Merah,1479
544,HAVELOCK ROAD,Bukit Merah,1688
545,HIGH STREET,Bukit Merah,1398
546,HOLLAND AVENUE,Bukit Merah,1997
547,HOUGANG AVENUE 10,Bukit Merah,3273
548,HOUGANG STREET 51,Bukit Merah,3239
549,HOUGANG STREET 91,Bukit Merah,3491
550,IRRAWADDY ROAD,Bukit Merah,1816
551,JALAN ANAK BUKIT,Bukit Merah,2987
552,JALAN BESAR,Bukit Merah,1913
553,JALAN JURONG KECHIL,Bukit Merah,2903
554,JALAN LEGUNDI,Bukit Merah,4127
555,JALAN MASJID,Bukit Merah,2229
556,JALAN SULTAN,Bukit Merah,1940
557,JELEBU ROAD,Bukit Merah,3587
558,JOO CHIAT ROAD,Bukit Merah,2673
559,JOO KOON CIRCLE,Bukit Merah,3673
560,JURONG EAST STREET 21,Bukit Merah,2470
561,JURONG GATEWAY ROAD,Bukit Merah,2190
562,JURONG WEST CENTRAL 2,Bukit Merah,2610
563,JURONG WEST CENTRAL 3,Bukit Merah,2716
564,KALLANG AVENUE,Bukit Merah,2022
565,KELANTAN LANE,Bukit Merah,2048
566,KEPPEL ROAD,Bukit Merah,1619
567,KITCHENER ROAD,Bukit Merah,1768
568,KOEK ROAD,Bukit Merah,1378
569,LAVENDER STREET,Bukit Merah,1893
570,LORONG 22 GEYLANG,Bukit Merah,2244
571,LORONG 4 TOA PAYOH,Bukit Merah,2461
