,Street_name,Planning_area,Time_taken
496,YIO CHU KANG ROAD,Ang Mo Kio,2037
497,YISHUN AVENUE 2,Ang Mo Kio,1159
498,YISHUN AVENUE 9,Ang Mo Kio,1744
499,YISHUN CENTRAL 1,Ang Mo Kio,1493
500,YISHUN RING ROAD,Ang Mo Kio,1864
501,ALBERT STREET,Geylang,2008
502,ALEXANDRA ROAD,Geylang,2185
503,ANG MO KIO AVENUE 3,Geylang,2125
504,ANSON ROAD,Geylang,1800
505,BALESTIER ROAD,Geylang,2239
506,BATTERY ROAD,Geylang,1568
507,BAYFRONT AVENUE,Geylang,1499
508,BEACH ROAD,Geylang,1754
509,BEDOK NORTH STREET 1,Geylang,1575
510,BEDOK ROAD,Geylang,1900
511,BENCOOLEN STREET,Geylang,1620
512,BIDADARI PARK DRIVE,Geylang,1568
513,BRAS BASAH ROAD,Geylang,1762
514,BROOKE ROAD,Geylang,1252
515,BUKIT TIMAH ROAD,Geylang,4837
516,CAVAN ROAD,Geylang,1473
517,CECIL STREET,Geylang,1969
518,CENTRAL BOULEVARD,Geylang,1851
519,CHANGI BUSINESS PARK CENTRAL 1,Geylang,2307
520,CHANGI ROAD,Geylang,1930
521,CHIN SWEE ROAD,Geylang,1977
522,CHOA CHU KANG AVENUE 4,Geylang,4242
523,CHOA CHU KANG NORTH 6,Geylang,3965
524,CLAYMORE DRIVE,Geylang,2856
525,CLEMENCEAU AVENUE,Geylang,1997
526,CLEMENTI AVENUE 3,Geylang,2929
527,COLEMAN STREET,Geylang,1767
528,COLLYER QUAY,Geylang,1612
529,COMMONWEALTH AVENUE WEST,Geylang,2794
530,COMPASSVALE BOW,Geylang,1920
531,CROSS STREET,Geylang,1679
532,CUSCADEN ROAD,Geylang,2648
533,EAST COAST ROAD,Geylang,2078
534,EASTWOOD ROAD,Geylang,1946
535,ENG HOON STREET,Geylang,2145
536,ENGGOR STREET,Geylang,1942
537,EU TONG SEN STREET,Geylang,1824
538,FOCH ROAD,Geylang,1574
539,GEYLANG ROAD,Geylang,890
540,GOLDHILL PLAZA,Geylang,2315
541,GOPENG STREET,Geylang,1789
542,GUILLEMARD ROAD,Geylang,1538
543,HANDY ROAD,Geylang,1619
544,HAVELOCK ROAD,Geylang,2345
545,HIGH STREET,Geylang,1846
546,HOLLAND AVENUE,Geylang,2484
547,HOUGANG AVENUE 10,Geylang,2579
548,HOUGANG STREET 51,Geylang,2548
549,HOUGANG STREET 91,Geylang,2400
550,IRRAWADDY ROAD,Geylang,2300
551,JALAN ANAK BUKIT,Geylang,3147
552,JALAN BESAR,Geylang,1691
553,JALAN JURONG KECHIL,Geylang,3063
554,JALAN LEGUNDI,Geylang,3621
555,JALAN MASJID,Geylang,1054
556,JALAN SULTAN,Geylang,1556
557,JELEBU ROAD,Geylang,3747
558,JOO CHIAT ROAD,Geylang,1526
